efficiency = 0.0245, stage_cost_sum = 159430.0
efficiency = 0.0355, stage_cost_sum = 100594.0
efficiency = 0.04783333333333333, stage_cost_sum = 19763.0
efficiency = 0.060833333333333336, stage_cost_sum = -36587.0
efficiency = 0.0395, stage_cost_sum = 73816.0
efficiency = 0.014, stage_cost_sum = 224672.0
efficiency = 0.037, stage_cost_sum = 85555.0
efficiency = 0.036333333333333336, stage_cost_sum = 91405.0
efficiency = 0.0185, stage_cost_sum = 194894.0
efficiency = 0.04733333333333333, stage_cost_sum = 28500.0
efficiency = 0.018, stage_cost_sum = 197649.0
efficiency = 0.022333333333333334, stage_cost_sum = 175758.0
efficiency = 0.05, stage_cost_sum = 11714.0
efficiency = 0.059333333333333335, stage_cost_sum = -26197.0
efficiency = 0.0275, stage_cost_sum = 148511.0
efficiency = 0.05366666666666667, stage_cost_sum = -3737.0
efficiency = 0.0155, stage_cost_sum = 216003.0
efficiency = 0.04783333333333333, stage_cost_sum = 26429.0
efficiency = 0.03883333333333333, stage_cost_sum = 77118.0
efficiency = 0.0165, stage_cost_sum = 203527.0
efficiency = 0.044333333333333336, stage_cost_sum = 49270.0
efficiency = 0.05566666666666667, stage_cost_sum = -16539.0
efficiency = 0.0195, stage_cost_sum = 192900.0
efficiency = 0.046, stage_cost_sum = 38390.0
efficiency = 0.042833333333333334, stage_cost_sum = 52206.0
efficiency = 0.06216666666666667, stage_cost_sum = -56622
efficiency = 0.0445, stage_cost_sum = 42649.0
efficiency = 0.0235, stage_cost_sum = 168476.0
efficiency = 0.0195, stage_cost_sum = 187851.0
efficiency = 0.049, stage_cost_sum = 19094.0
efficiency = 0.03383333333333333, stage_cost_sum = 104169.0
efficiency = 0.042, stage_cost_sum = 55515.0
efficiency = 0.031166666666666665, stage_cost_sum = 126398.0
efficiency = 0.003, stage_cost_sum = 283602.0
efficiency = 0.0355, stage_cost_sum = 90596.0
efficiency = 0.028666666666666667, stage_cost_sum = 133182.0
efficiency = 0.045, stage_cost_sum = 49743.0
efficiency = 0.005833333333333334, stage_cost_sum = 266219.0
efficiency = 0.0455, stage_cost_sum = 39583.0
efficiency = 0.060833333333333336, stage_cost_sum = -54962.0
efficiency = 0.057, stage_cost_sum = -19464.0
efficiency = 0.027333333333333334, stage_cost_sum = 142876.0
efficiency = 0.0325, stage_cost_sum = 114357.0
efficiency = 0.0445, stage_cost_sum = 47549.0
efficiency = 0.034, stage_cost_sum = 110488.0
efficiency = 0.0165, stage_cost_sum = 201810.0
efficiency = 0.0495, stage_cost_sum = 25500.0
efficiency = 0.033, stage_cost_sum = 108999.0
efficiency = 0.0205, stage_cost_sum = 182829.0
efficiency = 0.037, stage_cost_sum = 88495.0
efficiency = 0.052333333333333336, stage_cost_sum = 3360.0
efficiency = 0.03783333333333333, stage_cost_sum = 76558.0
efficiency = 0.039, stage_cost_sum = 75401.0
efficiency = 0.04583333333333333, stage_cost_sum = 45403.0
efficiency = 0.0195, stage_cost_sum = 191722.0
efficiency = 0.0055, stage_cost_sum = 269025.0
efficiency = 0.05366666666666667, stage_cost_sum = -7316.0
efficiency = 0.035, stage_cost_sum = 99729.0
efficiency = 0.0425, stage_cost_sum = 62413.0
efficiency = 0.032, stage_cost_sum = 122063.0
efficiency = 0.051166666666666666, stage_cost_sum = 9321.0
efficiency = 0.0595, stage_cost_sum = -34337.0
efficiency = 0.04, stage_cost_sum = 74489.0
efficiency = 0.03183333333333333, stage_cost_sum = 121089.0
efficiency = 0.0255, stage_cost_sum = 154647.0
efficiency = 0.05, stage_cost_sum = 12988.0
efficiency = 0.037, stage_cost_sum = 86925.0
efficiency = 0.031, stage_cost_sum = 122681.0
efficiency = 0.03883333333333333, stage_cost_sum = 79274.0
efficiency = 0.0235, stage_cost_sum = 169654.0
efficiency = 0.0135, stage_cost_sum = 224881.0
efficiency = 0.026, stage_cost_sum = 152282.0
efficiency = 0.0545, stage_cost_sum = -6308.0
efficiency = 0.0355, stage_cost_sum = 98781.0
efficiency = 0.04533333333333334, stage_cost_sum = 30667.0
efficiency = 0.044333333333333336, stage_cost_sum = 46524.0
efficiency = 0.0015, stage_cost_sum = 293008.0
efficiency = 0.031, stage_cost_sum = 123514.0
efficiency = 0.0425, stage_cost_sum = 54912.0
efficiency = 0.0405, stage_cost_sum = 72516.0
efficiency = 0.0325, stage_cost_sum = 114161.0
efficiency = 0.03233333333333333, stage_cost_sum = 121019.0
efficiency = 0.03183333333333333, stage_cost_sum = 117508.0
efficiency = 0.03983333333333333, stage_cost_sum = 68219.0
efficiency = 0.0315, stage_cost_sum = 123254.0
efficiency = 0.027, stage_cost_sum = 146862.0
efficiency = 0.0135, stage_cost_sum = 222676.0
efficiency = 0.03, stage_cost_sum = 126386.0
efficiency = 0.0305, stage_cost_sum = 128970.0
efficiency = 0.025833333333333333, stage_cost_sum = 155128.0
efficiency = 0.042666666666666665, stage_cost_sum = 57888.0
efficiency = 0.0455, stage_cost_sum = 38897.0
efficiency = 0.018, stage_cost_sum = 197945.0
efficiency = 0.0385, stage_cost_sum = 77819.0
efficiency = 0.031, stage_cost_sum = 122683.0
efficiency = 0.0385, stage_cost_sum = 82376.0
efficiency = 0.017, stage_cost_sum = 203218.0
efficiency = 0.0295, stage_cost_sum = 130811.0
efficiency = 0.0275, stage_cost_sum = 146749.0
efficiency = 0.0505, stage_cost_sum = 17824.0
