efficiency = 0.09716666666666667, stage_cost_sum = -52583
efficiency = 0.11383333333333333, stage_cost_sum = -62683
efficiency = 0.108, stage_cost_sum = -58788.0
efficiency = 0.11116666666666666, stage_cost_sum = -59647.0
efficiency = 0.10583333333333333, stage_cost_sum = -57435.0
efficiency = 0.10716666666666666, stage_cost_sum = -57883.0
efficiency = 0.10766666666666666, stage_cost_sum = -58506.0
efficiency = 0.10366666666666667, stage_cost_sum = -54262.0
efficiency = 0.10683333333333334, stage_cost_sum = -57681.0
efficiency = 0.11, stage_cost_sum = -59920.0
efficiency = 0.10416666666666667, stage_cost_sum = -56225.0
efficiency = 0.09816666666666667, stage_cost_sum = -52649.0
efficiency = 0.11766666666666667, stage_cost_sum = -64606.0
efficiency = 0.108, stage_cost_sum = -58588.0
efficiency = 0.11216666666666666, stage_cost_sum = -61673
efficiency = 0.11416666666666667, stage_cost_sum = -61405.0
efficiency = 0.1125, stage_cost_sum = -61075.0
efficiency = 0.1065, stage_cost_sum = -58139
efficiency = 0.11066666666666666, stage_cost_sum = -59784.0
efficiency = 0.11283333333333333, stage_cost_sum = -61737.0
efficiency = 0.1145, stage_cost_sum = -62587.0
efficiency = 0.10566666666666667, stage_cost_sum = -56874.0
efficiency = 0.10816666666666666, stage_cost_sum = -58189.0
efficiency = 0.11233333333333333, stage_cost_sum = -61434.0
efficiency = 0.11216666666666666, stage_cost_sum = -61473.0
efficiency = 0.104, stage_cost_sum = -55664.0
efficiency = 0.10466666666666667, stage_cost_sum = -56848.0
efficiency = 0.10333333333333333, stage_cost_sum = -56120
efficiency = 0.11266666666666666, stage_cost_sum = -61776.0
efficiency = 0.10416666666666667, stage_cost_sum = -56425.0
efficiency = 0.10966666666666666, stage_cost_sum = -58518.0
efficiency = 0.11166666666666666, stage_cost_sum = -60170.0
efficiency = 0.11033333333333334, stage_cost_sum = -60542.0
efficiency = 0.1115, stage_cost_sum = -59689.0
efficiency = 0.1085, stage_cost_sum = -59371.0
efficiency = 0.10233333333333333, stage_cost_sum = -55294.0
efficiency = 0.10966666666666666, stage_cost_sum = -60158
efficiency = 0.11083333333333334, stage_cost_sum = -60225.0
efficiency = 0.10866666666666666, stage_cost_sum = -59652
efficiency = 0.10666666666666667, stage_cost_sum = -58060.0
efficiency = 0.109, stage_cost_sum = -59094.0
efficiency = 0.109, stage_cost_sum = -59214.0
efficiency = 0.11333333333333333, stage_cost_sum = -61620.0
efficiency = 0.10183333333333333, stage_cost_sum = -55371.0
efficiency = 0.10916666666666666, stage_cost_sum = -59215.0
efficiency = 0.109, stage_cost_sum = -59454.0
efficiency = 0.10616666666666667, stage_cost_sum = -57577.0
efficiency = 0.10866666666666666, stage_cost_sum = -59292.0
efficiency = 0.11283333333333333, stage_cost_sum = -61657.0
efficiency = 0.10233333333333333, stage_cost_sum = -54934.0
efficiency = 0.1, stage_cost_sum = -53220.0
efficiency = 0.1005, stage_cost_sum = -53483.0
efficiency = 0.10683333333333334, stage_cost_sum = -58281.0
efficiency = 0.10716666666666666, stage_cost_sum = -57483.0
efficiency = 0.101, stage_cost_sum = -53906.0
efficiency = 0.105, stage_cost_sum = -56090.0
efficiency = 0.11566666666666667, stage_cost_sum = -63454.0
efficiency = 0.105, stage_cost_sum = -56450.0
efficiency = 0.11666666666666667, stage_cost_sum = -62840.0
efficiency = 0.11033333333333334, stage_cost_sum = -60422.0
efficiency = 0.10966666666666666, stage_cost_sum = -60038.0
efficiency = 0.09833333333333333, stage_cost_sum = -52410.0
efficiency = 0.11233333333333333, stage_cost_sum = -61194.0
efficiency = 0.114, stage_cost_sum = -61684.0
efficiency = 0.10516666666666667, stage_cost_sum = -56831.0
efficiency = 0.10433333333333333, stage_cost_sum = -56006.0
efficiency = 0.10766666666666666, stage_cost_sum = -57946.0
efficiency = 0.1065, stage_cost_sum = -56659.0
efficiency = 0.1135, stage_cost_sum = -62241.0
efficiency = 0.11183333333333334, stage_cost_sum = -60711.0
efficiency = 0.09783333333333333, stage_cost_sum = -52047.0
efficiency = 0.10366666666666667, stage_cost_sum = -55742.0
efficiency = 0.10483333333333333, stage_cost_sum = -56929.0
efficiency = 0.11, stage_cost_sum = -59640.0
efficiency = 0.10883333333333334, stage_cost_sum = -58893.0
efficiency = 0.10933333333333334, stage_cost_sum = -59916.0
efficiency = 0.1175, stage_cost_sum = -63985.0
efficiency = 0.10583333333333333, stage_cost_sum = -56875.0
efficiency = 0.1045, stage_cost_sum = -56927.0
efficiency = 0.10116666666666667, stage_cost_sum = -54267.0
efficiency = 0.1095, stage_cost_sum = -59597.0
efficiency = 0.10833333333333334, stage_cost_sum = -58550.0
efficiency = 0.109, stage_cost_sum = -59534.0
efficiency = 0.10733333333333334, stage_cost_sum = -58484.0
efficiency = 0.10833333333333334, stage_cost_sum = -58110.0
efficiency = 0.1105, stage_cost_sum = -60343.0
efficiency = 0.1075, stage_cost_sum = -58645
efficiency = 0.104, stage_cost_sum = -55544.0
efficiency = 0.105, stage_cost_sum = -56010.0
efficiency = 0.10566666666666667, stage_cost_sum = -56514.0
efficiency = 0.105, stage_cost_sum = -56890.0
efficiency = 0.10566666666666667, stage_cost_sum = -57634
efficiency = 0.10433333333333333, stage_cost_sum = -56126.0
efficiency = 0.1125, stage_cost_sum = -61635.0
efficiency = 0.10733333333333334, stage_cost_sum = -58044.0
efficiency = 0.10533333333333333, stage_cost_sum = -56992.0
efficiency = 0.10816666666666666, stage_cost_sum = -56709.0
efficiency = 0.10966666666666666, stage_cost_sum = -59558.0
efficiency = 0.11316666666666667, stage_cost_sum = -61179.0
efficiency = 0.11383333333333333, stage_cost_sum = -62243.0
