efficiency = 0.09866666666666667, stage_cost_sum = -43727.0
efficiency = 0.10366666666666667, stage_cost_sum = -55650.0
efficiency = 0.10416666666666667, stage_cost_sum = -50560.0
efficiency = 0.09833333333333333, stage_cost_sum = -34894.0
efficiency = 0.11083333333333334, stage_cost_sum = -54583.0
efficiency = 0.11316666666666667, stage_cost_sum = -60861.0
efficiency = 0.10233333333333333, stage_cost_sum = -45620.0
efficiency = 0.107, stage_cost_sum = -57539.0
efficiency = 0.10333333333333333, stage_cost_sum = -50198.0
efficiency = 0.109, stage_cost_sum = -57140.0
efficiency = 0.10516666666666667, stage_cost_sum = -53334.0
efficiency = 0.1085, stage_cost_sum = -53851.0
efficiency = 0.1115, stage_cost_sum = -56756.0
efficiency = 0.1065, stage_cost_sum = -57916.0
efficiency = 0.098, stage_cost_sum = -48757.0
efficiency = 0.10366666666666667, stage_cost_sum = -51485.0
efficiency = 0.1055, stage_cost_sum = -54367.0
efficiency = 0.105, stage_cost_sum = -51608.0
efficiency = 0.10833333333333334, stage_cost_sum = -55996.0
efficiency = 0.09766666666666667, stage_cost_sum = -43118.0
efficiency = 0.1055, stage_cost_sum = -49124.0
efficiency = 0.109, stage_cost_sum = -58757.0
efficiency = 0.099, stage_cost_sum = -45299.0
efficiency = 0.11166666666666666, stage_cost_sum = -57346.0
efficiency = 0.11033333333333334, stage_cost_sum = -56390.0
efficiency = 0.104, stage_cost_sum = -50509.0
efficiency = 0.10033333333333333, stage_cost_sum = -47881.0
efficiency = 0.1065, stage_cost_sum = -54339.0
efficiency = 0.10566666666666667, stage_cost_sum = -54467.0
efficiency = 0.10683333333333334, stage_cost_sum = -55871.0
efficiency = 0.10333333333333333, stage_cost_sum = -48826.0
efficiency = 0.1105, stage_cost_sum = -52864.0
efficiency = 0.103, stage_cost_sum = -50145.0
efficiency = 0.10283333333333333, stage_cost_sum = -44557.0
efficiency = 0.1, stage_cost_sum = -40616.0
efficiency = 0.106, stage_cost_sum = -54382.0
efficiency = 0.09966666666666667, stage_cost_sum = -43699.0
efficiency = 0.0965, stage_cost_sum = -43135.0
efficiency = 0.10033333333333333, stage_cost_sum = -42001.0
efficiency = 0.09433333333333334, stage_cost_sum = -45492.0
efficiency = 0.104, stage_cost_sum = -49676.0
efficiency = 0.10333333333333333, stage_cost_sum = -50590.0
efficiency = 0.10366666666666667, stage_cost_sum = -53494.0
efficiency = 0.1005, stage_cost_sum = -40435.0
efficiency = 0.10883333333333334, stage_cost_sum = -50131.0
efficiency = 0.10566666666666667, stage_cost_sum = -57211.0
efficiency = 0.10566666666666667, stage_cost_sum = -56525.0
efficiency = 0.10333333333333333, stage_cost_sum = -45396.0
efficiency = 0.10316666666666667, stage_cost_sum = -52303.0
efficiency = 0.10316666666666667, stage_cost_sum = -46962.0
efficiency = 0.105, stage_cost_sum = -52392.0
efficiency = 0.10616666666666667, stage_cost_sum = -48308.0
efficiency = 0.104, stage_cost_sum = -50656.0
efficiency = 0.10883333333333334, stage_cost_sum = -54688.0
efficiency = 0.11066666666666666, stage_cost_sum = -57472.0
efficiency = 0.09566666666666666, stage_cost_sum = -37628.0
efficiency = 0.10466666666666667, stage_cost_sum = -57190.0
efficiency = 0.10083333333333333, stage_cost_sum = -37989.0
efficiency = 0.10133333333333333, stage_cost_sum = -43492.0
efficiency = 0.10483333333333333, stage_cost_sum = -53762.0
efficiency = 0.101, stage_cost_sum = -49711.0
efficiency = 0.10866666666666666, stage_cost_sum = -55715.0
efficiency = 0.105, stage_cost_sum = -41073.0
efficiency = 0.10733333333333334, stage_cost_sum = -48380.0
efficiency = 0.1045, stage_cost_sum = -47437.0
efficiency = 0.11133333333333334, stage_cost_sum = -61703
efficiency = 0.10316666666666667, stage_cost_sum = -41768.0
efficiency = 0.09883333333333333, stage_cost_sum = -48090.0
efficiency = 0.11416666666666667, stage_cost_sum = -59608.0
efficiency = 0.10916666666666666, stage_cost_sum = -54251.0
efficiency = 0.1, stage_cost_sum = -49534.0
efficiency = 0.1115, stage_cost_sum = -61166.0
efficiency = 0.102, stage_cost_sum = -42284.0
efficiency = 0.1115, stage_cost_sum = -57785.0
efficiency = 0.102, stage_cost_sum = -49781.0
efficiency = 0.109, stage_cost_sum = -50917.0
efficiency = 0.0965, stage_cost_sum = -41420.0
efficiency = 0.10883333333333334, stage_cost_sum = -55031.0
efficiency = 0.104, stage_cost_sum = -48500.0
efficiency = 0.11, stage_cost_sum = -57651.0
efficiency = 0.106, stage_cost_sum = -48012.0
efficiency = 0.10083333333333333, stage_cost_sum = -52934.0
efficiency = 0.10316666666666667, stage_cost_sum = -49020.0
efficiency = 0.0945, stage_cost_sum = -41427.0
efficiency = 0.10366666666666667, stage_cost_sum = -52367.0
efficiency = 0.099, stage_cost_sum = -46328.0
efficiency = 0.1045, stage_cost_sum = -52141.0
efficiency = 0.09733333333333333, stage_cost_sum = -44428.0
efficiency = 0.09716666666666667, stage_cost_sum = -40653.0
efficiency = 0.11033333333333334, stage_cost_sum = -53254.0
efficiency = 0.1055, stage_cost_sum = -50300.0
efficiency = 0.09966666666666667, stage_cost_sum = -50755.0
efficiency = 0.103, stage_cost_sum = -53918.0
efficiency = 0.1135, stage_cost_sum = -62883.0
efficiency = 0.11083333333333334, stage_cost_sum = -55759.0
efficiency = 0.10766666666666666, stage_cost_sum = -55792.0
efficiency = 0.1115, stage_cost_sum = -54208.0
efficiency = 0.10216666666666667, stage_cost_sum = -53017.0
efficiency = 0.10833333333333334, stage_cost_sum = -59671
efficiency = 0.1065, stage_cost_sum = -55858.0
