efficiency = 0.0725, stage_cost_sum = -37686.0
efficiency = 0.0875, stage_cost_sum = -46897.0
efficiency = 0.07583333333333334, stage_cost_sum = -39820
efficiency = 0.07816666666666666, stage_cost_sum = -41149.0
efficiency = 0.08583333333333333, stage_cost_sum = -45732.0
efficiency = 0.0815, stage_cost_sum = -43136.0
efficiency = 0.08233333333333333, stage_cost_sum = -43498.0
efficiency = 0.08533333333333333, stage_cost_sum = -45922
efficiency = 0.08166666666666667, stage_cost_sum = -43187.0
efficiency = 0.079, stage_cost_sum = -41854
efficiency = 0.08816666666666667, stage_cost_sum = -47453
efficiency = 0.07966666666666666, stage_cost_sum = -42312.0
efficiency = 0.08133333333333333, stage_cost_sum = -43085.0
efficiency = 0.08966666666666667, stage_cost_sum = -48469
efficiency = 0.07716666666666666, stage_cost_sum = -40834
efficiency = 0.08733333333333333, stage_cost_sum = -46944
efficiency = 0.08, stage_cost_sum = -42316.0
efficiency = 0.07333333333333333, stage_cost_sum = -37901.0
efficiency = 0.09066666666666667, stage_cost_sum = -48833.0
efficiency = 0.08733333333333333, stage_cost_sum = -46650.0
efficiency = 0.08316666666666667, stage_cost_sum = -44154.0
efficiency = 0.07666666666666666, stage_cost_sum = -40084.0
efficiency = 0.08483333333333333, stage_cost_sum = -44682.0
efficiency = 0.075, stage_cost_sum = -39164.0
efficiency = 0.07666666666666666, stage_cost_sum = -40280.0
efficiency = 0.0905, stage_cost_sum = -48978
efficiency = 0.09333333333333334, stage_cost_sum = -50460.0
efficiency = 0.07583333333333334, stage_cost_sum = -39722.0
efficiency = 0.0825, stage_cost_sum = -43598.0
efficiency = 0.08866666666666667, stage_cost_sum = -47958
efficiency = 0.08483333333333333, stage_cost_sum = -45368.0
efficiency = 0.083, stage_cost_sum = -44348.0
efficiency = 0.0815, stage_cost_sum = -43332.0
efficiency = 0.07983333333333334, stage_cost_sum = -42167.0
efficiency = 0.0825, stage_cost_sum = -43843.0
efficiency = 0.08333333333333333, stage_cost_sum = -44107.0
efficiency = 0.08083333333333333, stage_cost_sum = -42874
efficiency = 0.08483333333333333, stage_cost_sum = -45319.0
efficiency = 0.08583333333333333, stage_cost_sum = -45928
efficiency = 0.08983333333333333, stage_cost_sum = -48471
efficiency = 0.07666666666666666, stage_cost_sum = -40329
efficiency = 0.082, stage_cost_sum = -43886
efficiency = 0.08666666666666667, stage_cost_sum = -46045.0
efficiency = 0.089, stage_cost_sum = -47913.0
efficiency = 0.07883333333333334, stage_cost_sum = -41607.0
efficiency = 0.083, stage_cost_sum = -44348.0
efficiency = 0.08133333333333333, stage_cost_sum = -43379
efficiency = 0.0845, stage_cost_sum = -45413
efficiency = 0.07733333333333334, stage_cost_sum = -40836
efficiency = 0.072, stage_cost_sum = -37778
efficiency = 0.0805, stage_cost_sum = -42037.0
efficiency = 0.07066666666666667, stage_cost_sum = -36568.0
efficiency = 0.07883333333333334, stage_cost_sum = -41852
efficiency = 0.08066666666666666, stage_cost_sum = -42676.0
efficiency = 0.08066666666666666, stage_cost_sum = -42823.0
efficiency = 0.0845, stage_cost_sum = -44923.0
efficiency = 0.08616666666666667, stage_cost_sum = -46431
efficiency = 0.08166666666666667, stage_cost_sum = -43187.0
efficiency = 0.07166666666666667, stage_cost_sum = -37079.0
efficiency = 0.09433333333333334, stage_cost_sum = -51519
efficiency = 0.07583333333333334, stage_cost_sum = -39820
efficiency = 0.08733333333333333, stage_cost_sum = -46895.0
efficiency = 0.08316666666666667, stage_cost_sum = -44399
efficiency = 0.08966666666666667, stage_cost_sum = -48469
efficiency = 0.08566666666666667, stage_cost_sum = -45926
efficiency = 0.08516666666666667, stage_cost_sum = -45920
efficiency = 0.08533333333333333, stage_cost_sum = -45922
efficiency = 0.08216666666666667, stage_cost_sum = -43839.0
efficiency = 0.074, stage_cost_sum = -38800
efficiency = 0.0875, stage_cost_sum = -46946
efficiency = 0.0825, stage_cost_sum = -43255.0
efficiency = 0.0815, stage_cost_sum = -43381
efficiency = 0.08083333333333333, stage_cost_sum = -42825.0
efficiency = 0.07816666666666666, stage_cost_sum = -41345
efficiency = 0.08216666666666667, stage_cost_sum = -43643.0
efficiency = 0.0875, stage_cost_sum = -46652.0
efficiency = 0.07933333333333334, stage_cost_sum = -42210.0
efficiency = 0.088, stage_cost_sum = -47255.0
efficiency = 0.08283333333333333, stage_cost_sum = -44199.0
efficiency = 0.08883333333333333, stage_cost_sum = -47715.0
efficiency = 0.07633333333333334, stage_cost_sum = -40276.0
efficiency = 0.08133333333333333, stage_cost_sum = -43379
efficiency = 0.0785, stage_cost_sum = -41603.0
efficiency = 0.088, stage_cost_sum = -47010.0
efficiency = 0.07916666666666666, stage_cost_sum = -41807.0
efficiency = 0.0975, stage_cost_sum = -53054
efficiency = 0.09583333333333334, stage_cost_sum = -52036
efficiency = 0.08166666666666667, stage_cost_sum = -43089.0
efficiency = 0.08, stage_cost_sum = -42267.0
efficiency = 0.0715, stage_cost_sum = -37224.0
efficiency = 0.08166666666666667, stage_cost_sum = -43334.0
efficiency = 0.08633333333333333, stage_cost_sum = -46433
efficiency = 0.07633333333333334, stage_cost_sum = -40178.0
efficiency = 0.07466666666666667, stage_cost_sum = -39307
efficiency = 0.08233333333333333, stage_cost_sum = -43694.0
efficiency = 0.07733333333333334, stage_cost_sum = -40787.0
efficiency = 0.082, stage_cost_sum = -43886
efficiency = 0.08616666666666667, stage_cost_sum = -46382.0
efficiency = 0.084, stage_cost_sum = -44859.0
efficiency = 0.07166666666666667, stage_cost_sum = -36932.0
