efficiency = 0.0595, stage_cost_sum = -5845960
efficiency = 0.0585, stage_cost_sum = -5745860
efficiency = 0.057, stage_cost_sum = -5595710
efficiency = 0.057666666666666665, stage_cost_sum = -5695770
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.058166666666666665, stage_cost_sum = -5745820
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.056666666666666664, stage_cost_sum = -5595670
efficiency = 0.059333333333333335, stage_cost_sum = -5845940
efficiency = 0.057666666666666665, stage_cost_sum = -5695770
efficiency = 0.059833333333333336, stage_cost_sum = -5895990
efficiency = 0.05633333333333333, stage_cost_sum = -5545640
efficiency = 0.056666666666666664, stage_cost_sum = -5595670
efficiency = 0.058166666666666665, stage_cost_sum = -5745820
efficiency = 0.0555, stage_cost_sum = -5445560
efficiency = 0.05516666666666667, stage_cost_sum = -5445520
efficiency = 0.057, stage_cost_sum = -5595710
efficiency = 0.058833333333333335, stage_cost_sum = -5795890
efficiency = 0.05733333333333333, stage_cost_sum = -5645740
efficiency = 0.057666666666666665, stage_cost_sum = -5695770
efficiency = 0.0575, stage_cost_sum = -5645760
efficiency = 0.058, stage_cost_sum = -5695810
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.058333333333333334, stage_cost_sum = -5745840
efficiency = 0.058166666666666665, stage_cost_sum = -5745820
efficiency = 0.058666666666666666, stage_cost_sum = -5795870
efficiency = 0.058166666666666665, stage_cost_sum = -5745820
efficiency = 0.05683333333333333, stage_cost_sum = -5595690
efficiency = 0.05616666666666666, stage_cost_sum = -5545620
efficiency = 0.0585, stage_cost_sum = -5745860
efficiency = 0.05633333333333333, stage_cost_sum = -5545640
efficiency = 0.06, stage_cost_sum = -5896010
efficiency = 0.0555, stage_cost_sum = -5445560
efficiency = 0.058166666666666665, stage_cost_sum = -5745820
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.055, stage_cost_sum = -5395510
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.057666666666666665, stage_cost_sum = -5695770
efficiency = 0.05733333333333333, stage_cost_sum = -5645740
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.05633333333333333, stage_cost_sum = -5545640
efficiency = 0.055, stage_cost_sum = -5395510
efficiency = 0.057, stage_cost_sum = -5595710
efficiency = 0.05733333333333333, stage_cost_sum = -5645740
efficiency = 0.058666666666666666, stage_cost_sum = -5795870
efficiency = 0.05633333333333333, stage_cost_sum = -5545640
efficiency = 0.055, stage_cost_sum = -5395510
efficiency = 0.059, stage_cost_sum = -5795910
efficiency = 0.056, stage_cost_sum = -5495610
efficiency = 0.05733333333333333, stage_cost_sum = -5645740
efficiency = 0.055, stage_cost_sum = -5395510
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.056666666666666664, stage_cost_sum = -5595670
efficiency = 0.058666666666666666, stage_cost_sum = -5795870
efficiency = 0.0565, stage_cost_sum = -5545660
efficiency = 0.058333333333333334, stage_cost_sum = -5745840
efficiency = 0.057666666666666665, stage_cost_sum = -5695770
efficiency = 0.056666666666666664, stage_cost_sum = -5595670
efficiency = 0.058333333333333334, stage_cost_sum = -5745840
efficiency = 0.056666666666666664, stage_cost_sum = -5595670
efficiency = 0.058333333333333334, stage_cost_sum = -5745840
efficiency = 0.05683333333333333, stage_cost_sum = -5595690
efficiency = 0.058666666666666666, stage_cost_sum = -5795870
efficiency = 0.0585, stage_cost_sum = -5745860
efficiency = 0.05733333333333333, stage_cost_sum = -5645740
efficiency = 0.058666666666666666, stage_cost_sum = -5795870
efficiency = 0.059833333333333336, stage_cost_sum = -5895990
efficiency = 0.056666666666666664, stage_cost_sum = -5595670
efficiency = 0.0565, stage_cost_sum = -5545660
efficiency = 0.059, stage_cost_sum = -5795910
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.058833333333333335, stage_cost_sum = -5795890
efficiency = 0.057, stage_cost_sum = -5595710
efficiency = 0.05683333333333333, stage_cost_sum = -5595690
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.05633333333333333, stage_cost_sum = -5545640
efficiency = 0.057166666666666664, stage_cost_sum = -5645720
efficiency = 0.059666666666666666, stage_cost_sum = -5895970
efficiency = 0.05583333333333333, stage_cost_sum = -5495590
efficiency = 0.05583333333333333, stage_cost_sum = -5495590
efficiency = 0.058, stage_cost_sum = -5695810
efficiency = 0.0565, stage_cost_sum = -5545660
efficiency = 0.059333333333333335, stage_cost_sum = -5845940
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.0555, stage_cost_sum = -5445560
efficiency = 0.058333333333333334, stage_cost_sum = -5745840
efficiency = 0.05583333333333333, stage_cost_sum = -5495590
efficiency = 0.058833333333333335, stage_cost_sum = -5795890
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.060333333333333336, stage_cost_sum = -5946040
efficiency = 0.059, stage_cost_sum = -5795910
efficiency = 0.057666666666666665, stage_cost_sum = -5695770
efficiency = 0.0585, stage_cost_sum = -5745860
efficiency = 0.057833333333333334, stage_cost_sum = -5695790
efficiency = 0.058, stage_cost_sum = -5695810
efficiency = 0.057, stage_cost_sum = -5595710
efficiency = 0.0585, stage_cost_sum = -5745860
efficiency = 0.059166666666666666, stage_cost_sum = -5845920
