efficiency = 0.018666666666666668, stage_cost_sum = 179920.0
efficiency = 0.023666666666666666, stage_cost_sum = 230420.0
efficiency = 0.0195, stage_cost_sum = 185170.0
efficiency = 0.024333333333333332, stage_cost_sum = 234860.0
efficiency = 0.019666666666666666, stage_cost_sum = 190180.0
efficiency = 0.024666666666666667, stage_cost_sum = 240480.0
efficiency = 0.018, stage_cost_sum = 170080.0
efficiency = 0.013833333333333333, stage_cost_sum = 129830.0
efficiency = 0.018833333333333334, stage_cost_sum = 180130.0
efficiency = 0.022833333333333334, stage_cost_sum = 220170.0
efficiency = 0.020666666666666667, stage_cost_sum = 200240.0
efficiency = 0.022833333333333334, stage_cost_sum = 220370.0
efficiency = 0.019666666666666666, stage_cost_sum = 189380.0
efficiency = 0.023, stage_cost_sum = 220380.0
efficiency = 0.021666666666666667, stage_cost_sum = 210100.0
efficiency = 0.027666666666666666, stage_cost_sum = 270660.0
efficiency = 0.021833333333333333, stage_cost_sum = 210310.0
efficiency = 0.021333333333333333, stage_cost_sum = 205280.0
efficiency = 0.0185, stage_cost_sum = 175110.0
efficiency = 0.025833333333333333, stage_cost_sum = 250550.0
efficiency = 0.020166666666666666, stage_cost_sum = 195210.0
efficiency = 0.016833333333333332, stage_cost_sum = 159810.0
efficiency = 0.020166666666666666, stage_cost_sum = 192010.0
efficiency = 0.023166666666666665, stage_cost_sum = 225390.0
efficiency = 0.02666666666666667, stage_cost_sum = 259400.0
efficiency = 0.02266666666666667, stage_cost_sum = 219760.0
efficiency = 0.026166666666666668, stage_cost_sum = 255570.0
efficiency = 0.014833333333333334, stage_cost_sum = 139890.0
efficiency = 0.019166666666666665, stage_cost_sum = 185150.0
efficiency = 0.025666666666666667, stage_cost_sum = 250540.0
efficiency = 0.016166666666666666, stage_cost_sum = 154570.0
efficiency = 0.020833333333333332, stage_cost_sum = 200250.0
efficiency = 0.021333333333333333, stage_cost_sum = 205280.0
efficiency = 0.025833333333333333, stage_cost_sum = 250350.0
efficiency = 0.023333333333333334, stage_cost_sum = 225400.0
efficiency = 0.023333333333333334, stage_cost_sum = 225200.0
efficiency = 0.016833333333333332, stage_cost_sum = 159810.0
efficiency = 0.017666666666666667, stage_cost_sum = 169660.0
efficiency = 0.025666666666666667, stage_cost_sum = 250540.0
efficiency = 0.020166666666666666, stage_cost_sum = 195010.0
efficiency = 0.02266666666666667, stage_cost_sum = 220360.0
efficiency = 0.017833333333333333, stage_cost_sum = 169670.0
efficiency = 0.013833333333333333, stage_cost_sum = 129430.0
efficiency = 0.023166666666666665, stage_cost_sum = 225390.0
efficiency = 0.018166666666666668, stage_cost_sum = 175090.0
efficiency = 0.027333333333333334, stage_cost_sum = 265640.0
efficiency = 0.021666666666666667, stage_cost_sum = 210300.0
efficiency = 0.026, stage_cost_sum = 250560.0
efficiency = 0.024333333333333332, stage_cost_sum = 234660.0
efficiency = 0.017833333333333333, stage_cost_sum = 170070.0
efficiency = 0.021833333333333333, stage_cost_sum = 210310.0
efficiency = 0.020166666666666666, stage_cost_sum = 195210.0
efficiency = 0.029, stage_cost_sum = 280740.0
efficiency = 0.018333333333333333, stage_cost_sum = 175100.0
efficiency = 0.028333333333333332, stage_cost_sum = 275700.0
efficiency = 0.016166666666666666, stage_cost_sum = 154570.0
efficiency = 0.018833333333333334, stage_cost_sum = 180130.0
efficiency = 0.0215, stage_cost_sum = 205090.0
efficiency = 0.025166666666666667, stage_cost_sum = 245510.0
efficiency = 0.020833333333333332, stage_cost_sum = 200050.0
efficiency = 0.024833333333333332, stage_cost_sum = 240290.0
efficiency = 0.015166666666666667, stage_cost_sum = 144910.0
efficiency = 0.021166666666666667, stage_cost_sum = 204470.0
efficiency = 0.023166666666666665, stage_cost_sum = 224590.0
efficiency = 0.026333333333333334, stage_cost_sum = 255580.0
efficiency = 0.027166666666666665, stage_cost_sum = 264630.0
efficiency = 0.025, stage_cost_sum = 240300.0
efficiency = 0.021666666666666667, stage_cost_sum = 209900.0
efficiency = 0.017166666666666667, stage_cost_sum = 165030.0
efficiency = 0.026833333333333334, stage_cost_sum = 259810.0
efficiency = 0.021166666666666667, stage_cost_sum = 205070.0
efficiency = 0.023833333333333335, stage_cost_sum = 230430.0
efficiency = 0.023333333333333334, stage_cost_sum = 225400.0
efficiency = 0.02266666666666667, stage_cost_sum = 220360.0
efficiency = 0.030333333333333334, stage_cost_sum = 295420.0
efficiency = 0.021166666666666667, stage_cost_sum = 204670.0
efficiency = 0.021333333333333333, stage_cost_sum = 204680.0
efficiency = 0.023833333333333335, stage_cost_sum = 229830.0
efficiency = 0.021, stage_cost_sum = 200060.0
efficiency = 0.029666666666666668, stage_cost_sum = 290780.0
efficiency = 0.022166666666666668, stage_cost_sum = 215330.0
efficiency = 0.02033333333333333, stage_cost_sum = 195020.0
efficiency = 0.019333333333333334, stage_cost_sum = 185160.0
efficiency = 0.022166666666666668, stage_cost_sum = 215330.0
efficiency = 0.017666666666666667, stage_cost_sum = 170060.0
efficiency = 0.021833333333333333, stage_cost_sum = 209910.0
efficiency = 0.018333333333333333, stage_cost_sum = 174700.0
efficiency = 0.020166666666666666, stage_cost_sum = 195210.0
efficiency = 0.024333333333333332, stage_cost_sum = 235060.0
efficiency = 0.023666666666666666, stage_cost_sum = 230020.0
