efficiency = 0.016493055555555556, stage_cost_sum = -762.0
efficiency = 0.010050251256281407, stage_cost_sum = -19432.0
efficiency = 0.006748207507380852, stage_cost_sum = -43011.0
efficiency = 0.004389815627743635, stage_cost_sum = -53378.0
efficiency = 0.011447260834014717, stage_cost_sum = -22366.0
efficiency = 0.0013554727211114877, stage_cost_sum = -88111.0
efficiency = 0.013966480446927373, stage_cost_sum = 4184.0
efficiency = 0.011119936457505957, stage_cost_sum = -25238.0
efficiency = 0.022222222222222223, stage_cost_sum = 14125.0
efficiency = 0.015213815789473685, stage_cost_sum = -2662.0
efficiency = 0.024922118380062305, stage_cost_sum = 11118.0
efficiency = 0.012068481616615213, stage_cost_sum = -28533.0
efficiency = 0.0070921985815602835, stage_cost_sum = -19117.0
efficiency = 0.004359798072510326, stage_cost_sum = -101968.0
efficiency = 0.0077473182359952325, stage_cost_sum = -27948.0
efficiency = 0.004326007959854646, stage_cost_sum = -134129.0
efficiency = 0.012893439514599925, stage_cost_sum = -17897.0
efficiency = 0.008787010506208214, stage_cost_sum = -75575.0
efficiency = 0.008302889405513119, stage_cost_sum = -45161.0
efficiency = 0.006459426725878078, stage_cost_sum = -47517.0
efficiency = 0.010627177700348432, stage_cost_sum = -58130.0
efficiency = 0.00878972278566599, stage_cost_sum = -22549.0
efficiency = 0.0058063307735531, stage_cost_sum = -107829.0
efficiency = 0.009041591320072333, stage_cost_sum = -39315.0
efficiency = 0.006373486297004461, stage_cost_sum = -31469.0
efficiency = 0.010290556900726392, stage_cost_sum = -35964.0
efficiency = 0.0195160031225605, stage_cost_sum = 9369.0
