efficiency = 0.006333333333333333, stage_cost_sum = -115220.0
efficiency = 0.008833333333333334, stage_cost_sum = -85270.0
efficiency = 0.0085, stage_cost_sum = -38690.0
efficiency = 0.0033333333333333335, stage_cost_sum = -152800.0
efficiency = 0.0145, stage_cost_sum = -13730.0
efficiency = 0.007833333333333333, stage_cost_sum = -97130.0
efficiency = 0.005833333333333334, stage_cost_sum = -123850.0
efficiency = 0.008833333333333334, stage_cost_sum = -84670.0
efficiency = 0.004333333333333333, stage_cost_sum = -141940.0
efficiency = 0.004833333333333334, stage_cost_sum = -136110.0
efficiency = 0.008833333333333334, stage_cost_sum = -85470.0
efficiency = 0.004833333333333334, stage_cost_sum = -134510.0
efficiency = 0.0033333333333333335, stage_cost_sum = -153000.0
efficiency = 0.005, stage_cost_sum = -134700.0
efficiency = 0.0033333333333333335, stage_cost_sum = -152400.0
efficiency = 0.004833333333333334, stage_cost_sum = -135310.0
efficiency = 0.0028333333333333335, stage_cost_sum = -136830.0
efficiency = 0.005833333333333334, stage_cost_sum = -123650.0
efficiency = 0.005333333333333333, stage_cost_sum = -128280.0
efficiency = 0.004833333333333334, stage_cost_sum = -136110.0
efficiency = 0.005333333333333333, stage_cost_sum = -128880.0
efficiency = 0.004833333333333334, stage_cost_sum = -132710.0
efficiency = 0.008333333333333333, stage_cost_sum = -48900.0
efficiency = 0.004333333333333333, stage_cost_sum = -141940.0
efficiency = 0.012333333333333333, stage_cost_sum = -40860.0
efficiency = 0.008833333333333334, stage_cost_sum = -83070.0
efficiency = 0.013, stage_cost_sum = -34620.0
efficiency = 0.008333333333333333, stage_cost_sum = -92100.0
efficiency = 0.009166666666666667, stage_cost_sum = -66850.0
efficiency = 0.005833333333333334, stage_cost_sum = -119650.0
efficiency = 0.007333333333333333, stage_cost_sum = -103160.0
efficiency = 0.007333333333333333, stage_cost_sum = -97560.0
efficiency = 0.005166666666666667, stage_cost_sum = -129290.0
efficiency = 0.008833333333333334, stage_cost_sum = -83670.0
efficiency = 0.01, stage_cost_sum = -72200.0
efficiency = 0.010333333333333333, stage_cost_sum = -68580.0
efficiency = 0.007166666666666667, stage_cost_sum = -103370.0
efficiency = 0.005, stage_cost_sum = -132500.0
efficiency = 0.007833333333333333, stage_cost_sum = -95730.0
efficiency = 0.009333333333333334, stage_cost_sum = -79240.0
efficiency = 0.013333333333333334, stage_cost_sum = -27400.0
efficiency = 0.010333333333333333, stage_cost_sum = -48380.0
efficiency = 0.0035, stage_cost_sum = -153990.0
efficiency = 0.015833333333333335, stage_cost_sum = 1550.0
efficiency = 0.010833333333333334, stage_cost_sum = -44750.0
efficiency = 0.009833333333333333, stage_cost_sum = -73010.0
efficiency = 0.011833333333333333, stage_cost_sum = -45690.0
efficiency = 0.008833333333333334, stage_cost_sum = -85070.0
efficiency = 0.007833333333333333, stage_cost_sum = -98730.0
efficiency = 0.008333333333333333, stage_cost_sum = -91300.0
efficiency = 0.012833333333333334, stage_cost_sum = -27230.0
