efficiency = 0.02952029520295203, stage_cost_sum = 8009.0
efficiency = 0.022727272727272728, stage_cost_sum = -1234.0
efficiency = 0.0449438202247191, stage_cost_sum = 3951.0
efficiency = 0.030211480362537766, stage_cost_sum = 11569.0
efficiency = 0.04288164665523156, stage_cost_sum = 38067.0
efficiency = 0.03289473684210526, stage_cost_sum = 3498.0
efficiency = 0.04221635883905013, stage_cost_sum = 23181.0
efficiency = 0.029345372460496615, stage_cost_sum = 16487.0
efficiency = 0.05017921146953405, stage_cost_sum = 43522.0
efficiency = 0.043052837573385516, stage_cost_sum = 33109.0
efficiency = 0.04844290657439446, stage_cost_sum = 43302.0
efficiency = 0.030395136778115502, stage_cost_sum = 13571.0
efficiency = 0.04, stage_cost_sum = 13450.0
efficiency = 0.04126984126984127, stage_cost_sum = 17415.0
efficiency = 0.024096385542168676, stage_cost_sum = 3074.0
efficiency = 0.04153354632587859, stage_cost_sum = 18217.0
efficiency = 0.04294478527607362, stage_cost_sum = 17614.0
efficiency = 0.034482758620689655, stage_cost_sum = 12191.0
efficiency = 0.05128205128205128, stage_cost_sum = 3162.0
efficiency = 0.0425531914893617, stage_cost_sum = 32103.0
efficiency = 0.05507246376811594, stage_cost_sum = 28645.0
efficiency = 0.024305555555555556, stage_cost_sum = 8182.0
efficiency = 0.03076923076923077, stage_cost_sum = 3510.0
efficiency = 0.03424657534246575, stage_cost_sum = 3104.0
efficiency = 0.0, stage_cost_sum = -1840.0
efficiency = 0.02564102564102564, stage_cost_sum = -1229.0
efficiency = 0.04336043360433604, stage_cost_sum = 23191.0
efficiency = 0.05273069679849341, stage_cost_sum = 43149.0
efficiency = 0.022222222222222223, stage_cost_sum = -1235.0
efficiency = 0.025806451612903226, stage_cost_sum = 2885.0
efficiency = 0.04819277108433735, stage_cost_sum = 2557.0
efficiency = 0.02877697841726619, stage_cost_sum = 8202.0
efficiency = 0.034990791896869246, stage_cost_sum = 27647.0
efficiency = 0.017241379310344827, stage_cost_sum = -1248.0
efficiency = 0.0440251572327044, stage_cost_sum = 8911.0
efficiency = 0.046263345195729534, stage_cost_sum = 17649.0
efficiency = 0.043333333333333335, stage_cost_sum = 18430.0
efficiency = 0.04177545691906005, stage_cost_sum = 23377.0
efficiency = 0.039723661485319514, stage_cost_sum = 33251.0
efficiency = 0.0398406374501992, stage_cost_sum = 13049.0
