efficiency = 0.0437636761487965, stage_cost_sum = 55686.0
efficiency = 0.045118949958982774, stage_cost_sum = 80931.0
efficiency = 0.048462255358807084, stage_cost_sum = 77847.0
efficiency = 0.04508856682769726, stage_cost_sum = 38259.0
efficiency = 0.04939516129032258, stage_cost_sum = 74298.0
efficiency = 0.040525739320920046, stage_cost_sum = 50857.0
efficiency = 0.04487179487179487, stage_cost_sum = 69798.0
efficiency = 0.04825090470446321, stage_cost_sum = 59771.0
efficiency = 0.04135802469135803, stage_cost_sum = 94450.0
efficiency = 0.03873015873015873, stage_cost_sum = 79435.0
efficiency = 0.04757548032936871, stage_cost_sum = 78027.0
efficiency = 0.046357615894039736, stage_cost_sum = 37476.0
efficiency = 0.042976266837716486, stage_cost_sum = 96311.0
efficiency = 0.04224376731301939, stage_cost_sum = 86166.0
efficiency = 0.038865546218487396, stage_cost_sum = 49618.0
efficiency = 0.03266666666666666, stage_cost_sum = 61990.0
efficiency = 0.049129353233830844, stage_cost_sum = 122182.0
efficiency = 0.05029585798816568, stage_cost_sum = 48464.0
efficiency = 0.04200913242009133, stage_cost_sum = 66165.0
efficiency = 0.036004645760743324, stage_cost_sum = 37449.0
efficiency = 0.050490196078431374, stage_cost_sum = 160990.0
efficiency = 0.045454545454545456, stage_cost_sum = 66448.0
efficiency = 0.043522267206477734, stage_cost_sum = 57642.0
efficiency = 0.0440251572327044, stage_cost_sum = 134043.0
efficiency = 0.049760765550239235, stage_cost_sum = 77475.0
efficiency = 0.04377880184331797, stage_cost_sum = 199892.0
efficiency = 0.03974121996303143, stage_cost_sum = 62148.0
efficiency = 0.034523809523809526, stage_cost_sum = 77100.0
efficiency = 0.03909465020576132, stage_cost_sum = 46208.0
efficiency = 0.03313840155945419, stage_cost_sum = 41514.0
efficiency = 0.034108527131782945, stage_cost_sum = 25775.0
efficiency = 0.03770491803278689, stage_cost_sum = 28820.0
efficiency = 0.0433546552949538, stage_cost_sum = 173006.0
efficiency = 0.044105854049719326, stage_cost_sum = 79303.0
efficiency = 0.035996488147497806, stage_cost_sum = 117542.0
efficiency = 0.03773584905660377, stage_cost_sum = 34938.0
efficiency = 0.04717898832684825, stage_cost_sum = 153914.0
efficiency = 0.044412607449856735, stage_cost_sum = 42012.0
efficiency = 0.0280970625798212, stage_cost_sum = 26037.0
efficiency = 0.04068241469816273, stage_cost_sum = 42948.0
efficiency = 0.04141566265060241, stage_cost_sum = 75222.0
efficiency = 0.03415300546448088, stage_cost_sum = 28518.0
efficiency = 0.03787878787878788, stage_cost_sum = 89852.0
efficiency = 0.04368765049879601, stage_cost_sum = 194163.0
efficiency = 0.03903477643718949, stage_cost_sum = 78341.0
efficiency = 0.03891402714932127, stage_cost_sum = 58725.0
efficiency = 0.03773584905660377, stage_cost_sum = 33338.0
efficiency = 0.045588235294117645, stage_cost_sum = 41430.0
efficiency = 0.035897435897435895, stage_cost_sum = 34900.0
efficiency = 0.034482758620689655, stage_cost_sum = 124071.0
efficiency = 0.04584221748400853, stage_cost_sum = 64692.0
