efficiency = 0.0273972602739726, stage_cost_sum = -783.0
efficiency = 0.05695142378559464, stage_cost_sum = 4168.0
efficiency = 0.05194805194805195, stage_cost_sum = -542.0
efficiency = 0.058355437665782495, stage_cost_sum = 2296.0
efficiency = 0.05416666666666667, stage_cost_sum = 864.0
efficiency = 0.051756007393715345, stage_cost_sum = 3178.0
efficiency = 0.05008944543828265, stage_cost_sum = 3160.0
efficiency = 0.04940711462450593, stage_cost_sum = 2690.0
efficiency = 0.05652173913043478, stage_cost_sum = 874.0
efficiency = 0.057971014492753624, stage_cost_sum = -534.0
efficiency = 0.0471976401179941, stage_cost_sum = -1709.0
efficiency = 0.05277777777777778, stage_cost_sum = 1790.0
efficiency = 0.05415860735009671, stage_cost_sum = 3202.0
efficiency = 0.07272727272727272, stage_cost_sum = -520.0
efficiency = 0.05235602094240838, stage_cost_sum = 390.0
efficiency = 0.05405405405405406, stage_cost_sum = 396.0
efficiency = 0.058333333333333334, stage_cost_sum = -62.0
efficiency = 0.029197080291970802, stage_cost_sum = -2600.0
efficiency = 0.05053191489361702, stage_cost_sum = 1774.0
efficiency = 0.056451612903225805, stage_cost_sum = -66.0
efficiency = 0.06363636363636363, stage_cost_sum = -52.0
efficiency = 0.05701754385964912, stage_cost_sum = 876.0
efficiency = 0.05416666666666667, stage_cost_sum = 864.0
efficiency = 0.05397727272727273, stage_cost_sum = 1798.0
efficiency = 0.05200945626477541, stage_cost_sum = 2250.0
efficiency = 0.05714285714285714, stage_cost_sum = 406.0
efficiency = 0.0546875, stage_cost_sum = -70.0
efficiency = 0.06557377049180328, stage_cost_sum = -526.0
efficiency = 0.06779661016949153, stage_cost_sum = -524.0
efficiency = 0.056451612903225805, stage_cost_sum = -66.0
efficiency = 0.053156146179401995, stage_cost_sum = 1326.0
efficiency = 0.0547945205479452, stage_cost_sum = 3208.0
efficiency = 0.050387596899224806, stage_cost_sum = 846.0
efficiency = 0.0547945205479452, stage_cost_sum = -538.0
efficiency = 0.05152224824355972, stage_cost_sum = 2246.0
efficiency = 0.06481481481481481, stage_cost_sum = -50.0
efficiency = 0.05506607929515418, stage_cost_sum = 2742.0
efficiency = 0.05423728813559322, stage_cost_sum = 1332.0
efficiency = 0.05652173913043478, stage_cost_sum = 874.0
efficiency = 0.05491329479768786, stage_cost_sum = 1804.0
efficiency = 0.05313092979127135, stage_cost_sum = 3192.0
efficiency = 0.05277777777777778, stage_cost_sum = 1790.0
efficiency = 0.052364864864864864, stage_cost_sum = 3650.0
efficiency = 0.057926829268292686, stage_cost_sum = 1822.0
efficiency = 0.056451612903225805, stage_cost_sum = -66.0
efficiency = 0.05254237288135593, stage_cost_sum = 3652.0
efficiency = 0.05917159763313609, stage_cost_sum = 412.0
efficiency = 0.049800796812749, stage_cost_sum = 2694.0
efficiency = 0.05378973105134474, stage_cost_sum = 2264.0
efficiency = 0.053268765133171914, stage_cost_sum = 1261.0
efficiency = 0.06153846153846154, stage_cost_sum = -530.0
efficiency = 0.059322033898305086, stage_cost_sum = -60.0
efficiency = 0.06557377049180328, stage_cost_sum = -526.0
efficiency = 0.04892966360856269, stage_cost_sum = 1300.0
efficiency = 0.04744525547445255, stage_cost_sum = -4165.0
efficiency = 0.06153846153846154, stage_cost_sum = -530.0
efficiency = 0.05416666666666667, stage_cost_sum = 864.0
efficiency = 0.06557377049180328, stage_cost_sum = -526.0
efficiency = 0.05277777777777778, stage_cost_sum = 1790.0
efficiency = 0.05432098765432099, stage_cost_sum = 2268.0
efficiency = 0.05909090909090909, stage_cost_sum = 884.0
