efficiency = 0.06565096952908588, stage_cost_sum = -3488050
efficiency = 0.06393180607352157, stage_cost_sum = -3716570
efficiency = 0.06672369546621043, stage_cost_sum = -1079700
efficiency = 0.060431654676258995, stage_cost_sum = -1911320
efficiency = 0.06202008269344359, stage_cost_sum = -3279720
efficiency = 0.06578947368421052, stage_cost_sum = -3777600
efficiency = 0.06460296096904442, stage_cost_sum = -5997120
efficiency = 0.06744231906921712, stage_cost_sum = -5245180
efficiency = 0.06562955760816723, stage_cost_sum = -4193480
efficiency = 0.06420927467300833, stage_cost_sum = -2387600
efficiency = 0.06565349544072949, stage_cost_sum = -1555450
efficiency = 0.06534982462617685, stage_cost_sum = -5581850
efficiency = 0.06982758620689655, stage_cost_sum = -1189810
efficiency = 0.06601975394212442, stage_cost_sum = -6148700
efficiency = 0.06607929515418502, stage_cost_sum = -3301790
efficiency = 0.06829111894838089, stage_cost_sum = -3272470
efficiency = 0.0666189111747851, stage_cost_sum = -5940450
efficiency = 0.053877551020408164, stage_cost_sum = -938910
efficiency = 0.06716417910447761, stage_cost_sum = -6168930
efficiency = 0.06247793858100953, stage_cost_sum = -5539380
efficiency = 0.06743185078909612, stage_cost_sum = -2101540
efficiency = 0.06673936750272629, stage_cost_sum = -4909310
efficiency = 0.06040268456375839, stage_cost_sum = -1485320
efficiency = 0.06344015696533682, stage_cost_sum = -4439150
efficiency = 0.06455469216975493, stage_cost_sum = -3420200
efficiency = 0.0691190706679574, stage_cost_sum = -5754360
efficiency = 0.06837606837606838, stage_cost_sum = -643840
efficiency = 0.0680786686838124, stage_cost_sum = -1298360
efficiency = 0.06502571638501102, stage_cost_sum = -5481630
efficiency = 0.06445837063563116, stage_cost_sum = -4570200
efficiency = 0.06551297898640297, stage_cost_sum = -2478440
efficiency = 0.05992010652463382, stage_cost_sum = -593300
efficiency = 0.06611250724917843, stage_cost_sum = -5444060
efficiency = 0.06612529002320186, stage_cost_sum = -1694740
efficiency = 0.07053034445051941, stage_cost_sum = -1963930
efficiency = 0.06687898089171974, stage_cost_sum = -5492760
efficiency = 0.06553164150337296, stage_cost_sum = -3222330
efficiency = 0.07334109429569266, stage_cost_sum = -892520
efficiency = 0.06854130052724078, stage_cost_sum = -3054870
efficiency = 0.06420545746388442, stage_cost_sum = -1813380
efficiency = 0.0625, stage_cost_sum = -1862440
efficiency = 0.06692531522793405, stage_cost_sum = -3272580
efficiency = 0.05847953216374269, stage_cost_sum = -840800
efficiency = 0.06516797171002779, stage_cost_sum = -4074790
efficiency = 0.06517766497461928, stage_cost_sum = -5076200
efficiency = 0.06847133757961783, stage_cost_sum = -1983370
efficiency = 0.0640625, stage_cost_sum = -5828670
efficiency = 0.06358885017421603, stage_cost_sum = -3469270
efficiency = 0.06403940886699508, stage_cost_sum = -2408310
efficiency = 0.06546406750072738, stage_cost_sum = -3529460
efficiency = 0.0631296171927468, stage_cost_sum = -4450120
