efficiency = 0.05647058823529412, stage_cost_sum = 113630
efficiency = 0.061224489795918366, stage_cost_sum = 212420
efficiency = 0.046153846153846156, stage_cost_sum = 460380
efficiency = 0.05928853754940711, stage_cost_sum = 262060
efficiency = 0.05, stage_cost_sum = 410880
efficiency = 0.05660377358490566, stage_cost_sum = 212660
efficiency = 0.05325443786982249, stage_cost_sum = 64400
efficiency = 0.060810810810810814, stage_cost_sum = 1270
efficiency = 0.05660377358490566, stage_cost_sum = 410740
efficiency = 0.053811659192825115, stage_cost_sum = 113840
efficiency = 0.047619047619047616, stage_cost_sum = 460360
efficiency = 0.05385996409335727, stage_cost_sum = 14850
efficiency = 0.0626865671641791, stage_cost_sum = 162780
efficiency = 0.05217391304347826, stage_cost_sum = 311880
efficiency = 0.06206896551724138, stage_cost_sum = 361080
efficiency = 0.06060606060606061, stage_cost_sum = 113340
efficiency = 0.06493506493506493, stage_cost_sum = 261840
efficiency = 0.06077348066298342, stage_cost_sum = -35340
efficiency = 0.053811659192825115, stage_cost_sum = 311810
efficiency = 0.061068702290076333, stage_cost_sum = 113310
efficiency = 0.04838709677419355, stage_cost_sum = 213200
efficiency = 0.05357142857142857, stage_cost_sum = 212840
efficiency = 0.05338078291814947, stage_cost_sum = 262340
efficiency = 0.0625, stage_cost_sum = 1230
efficiency = 0.06382978723404255, stage_cost_sum = 113140
